Date,Open,High,Low,Close,Adj Close,Volume
2004-11-15,56.900002,57.889999,55.160000,55.250000,37.504555,59860000
2004-11-22,55.480000,55.950001,54.830002,55.320000,37.552063,28658700
2004-11-29,53.750000,53.900002,52.060001,52.930000,35.929695,100240400
2004-12-06,52.930000,53.099998,52.099998,52.709999,35.780354,49188700
2004-12-13,52.720001,53.650002,52.000000,52.020000,35.311989,58292100
2004-12-20,52.290001,53.250000,52.130001,52.549999,35.758633,39647000
2004-12-27,53.049999,53.630001,52.560001,52.820000,35.942348,37084500
2005-01-03,53.750000,54.330002,53.020000,53.990002,36.738503,58605700
2005-01-10,53.799999,54.330002,53.400002,53.990002,36.738503,40730100
2005-01-17,53.599998,54.599998,53.000000,53.009998,36.071636,34426100
2005-01-24,53.020000,53.689999,52.299999,52.430000,35.676968,39930300
2005-01-31,52.549999,53.580002,52.220001,53.459999,36.377850,44842900
2005-02-07,53.700001,53.740002,52.099998,52.099998,35.452415,39962600
2005-02-14,52.299999,53.040001,52.099998,52.720001,35.874294,49584500
2005-02-21,52.599998,52.680000,51.099998,51.490002,35.037323,46536700
2005-02-28,51.799999,53.490002,51.599998,53.099998,36.132893,61478000
2005-03-07,53.099998,53.360001,51.470001,51.599998,35.112152,47133000
2005-03-14,51.779999,52.430000,50.860001,51.450001,35.010120,152631200
2005-03-21,51.520000,51.759998,50.520000,50.660000,34.574169,70161800
2005-03-28,50.660000,51.270000,48.500000,48.990002,33.434437,82434700
2005-04-04,49.330002,49.950001,48.459999,48.570000,33.147804,84086800
2005-04-11,48.570000,49.500000,47.490002,47.700001,32.554047,81323500
2005-04-18,47.910000,47.959999,46.650002,46.810001,31.946630,77384200
2005-04-25,47.060001,47.590000,46.200001,47.139999,32.171864,65441300
2005-05-02,47.480000,49.220001,47.320000,48.959999,33.413960,59590300
2005-05-09,48.900002,49.459999,46.599998,47.130001,32.165047,75107500
2005-05-16,47.130001,47.970001,46.709999,47.180000,32.199154,67084200
2005-05-23,47.330002,48.029999,47.139999,47.270000,32.363865,41943400
2005-05-30,47.450001,48.439999,47.130001,47.349998,32.418640,42356700
2005-06-06,47.349998,48.139999,47.209999,47.980000,32.849964,43707200
2005-06-13,48.000000,50.299999,47.990002,48.930000,33.500401,71886400
